timestamp,key,value
2026-03-06 17:55:37,split,Train
2026-03-06 17:55:37,samples,69172
2026-03-06 17:55:37,valid_pixels,4367909766
2026-03-06 17:55:37,depth_min_m,0.00
2026-03-06 17:55:37,depth_max_m,20.00
2026-03-06 17:55:37,depth_mean_m,7.80
2026-03-06 17:55:37,depth_median_m,6.49
2026-03-06 17:55:37,pct_0 - 2.5 m,5.7%
2026-03-06 17:55:37,pct_2.5 - 5 m,28.0%
2026-03-06 17:55:37,pct_5 - 7.5 m,24.6%
2026-03-06 17:55:37,pct_7.5 - 10 m,14.7%
2026-03-06 17:55:37,pct_10 - 15 m,16.8%
2026-03-06 17:55:37,pct_15 - 20 m,10.2%
