b1_sae,b1_sse,b1_d1n,b1_px,b2_sae,b2_sse,b2_d1n,b2_px,b3_sae,b3_sse,b3_d1n,b3_px,b4_sae,b4_sse,b4_d1n,b4_px,b5_sae,b5_sse,b5_d1n,b5_px,b6_sae,b6_sse,b6_d1n,b6_px,all_sae,all_sse,all_d1n,all_px
0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,178.814621,3552.754395,0,9,178.814621,3552.754395,0,9
5833.474609,9468.385742,7612,12388,7872.083984,10773.902344,15048,17388,26938.007812,81848.890625,14117,20452,24496.890625,130280.21875,4838,8966,41910.863281,249017.9375,3972,10716,57904.53125,620127.6875,805,6678,164955.84375,1101517.0,46392,76588
29310.730469,133988.875,11921,25766,20355.632812,63793.914062,17502,25122,20298.695312,64045.136719,3879,10697,21186.767578,102607.773438,1744,6312,45544.035156,279604.4375,2898,10310,42176.324219,430015.3125,811,5171,178872.1875,1074055.5,38755,83378
2542.329346,471.452148,2623,29973,25548.970703,103681.3125,15222,22270,12073.450195,42523.460938,5439,8368,15629.920898,77187.21875,3185,6008,41540.3125,356435.28125,2436,7720,47970.742188,524567.25,518,5470,145305.71875,1104866.0,29423,79809
83.243881,198.15863,0,35,14821.158203,39164.234375,27533,31229,10986.416992,26239.298828,13223,15444,9522.009766,25315.603516,5589,7527,29972.201172,136434.4375,8389,12923,38416.554688,322558.8125,2301,6669,103801.585938,549910.5,57035,73827
829.571655,5754.432129,0,120,7558.692383,28882.917969,17731,19489,19838.515625,76975.304688,13659,17909,15679.109375,38456.78125,9733,12964,33471.804688,137229.5625,9629,14884,40844.4375,346066.5,2259,6860,118222.132812,633365.5,53011,72226
0.0,0.0,0,0,32940.765625,201018.34375,21756,27856,7026.018555,10914.248047,9907,11372,15814.317383,43272.835938,6318,10016,48924.304688,262915.59375,8096,15168,54519.140625,529344.125,2646,7997,159224.546875,1047465.125,48723,72409
1755.826294,4844.447266,0,641,18809.53125,82189.015625,20111,24861,8152.464844,17249.662109,9563,11856,7673.862305,19152.515625,7890,8742,42748.09375,209617.390625,12448,17944,52810.761719,450224.125,2127,8372,131950.53125,783277.125,52139,72416
33281.183594,259555.59375,1440,8228,2997.437256,2967.005859,15423,16546,8359.362305,20955.357422,8507,11025,29037.355469,118048.085938,8781,14568,39627.984375,256001.96875,6478,11988,61987.796875,575699.625,3023,9679,175291.109375,1233227.625,43652,72034
7917.880859,8424.353516,0,7961,733.108276,559.745361,15789,15904,4243.714355,9756.673828,9089,10291,19160.638672,55848.246094,12668,15910,26839.126953,131496.484375,9595,13042,43525.457031,317277.90625,3877,8954,102419.929688,523363.4375,51018,72062
