b1_sae,b1_sse,b1_d1n,b1_px,b2_sae,b2_sse,b2_d1n,b2_px,b3_sae,b3_sse,b3_d1n,b3_px,b4_sae,b4_sse,b4_d1n,b4_px,b5_sae,b5_sse,b5_d1n,b5_px,b6_sae,b6_sse,b6_d1n,b6_px,all_sae,all_sse,all_d1n,all_px
0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,178.110779,3524.847168,0,9,178.110779,3524.847168,0,9
5278.435547,18829.195312,10428,12388,3875.62793,6632.688477,16436,17388,16882.195312,40417.722656,16334,20452,15395.848633,57538.4375,5532,8966,31819.445312,165227.5625,5766,10716,46377.546875,436375.375,1522,6678,119629.09375,725020.9375,56018,76588
6432.508789,21649.996094,23287,25766,14011.748047,29707.578125,19037,25122,20670.101562,64421.6875,3826,10697,17618.257812,71315.546875,2498,6312,38223.480469,207052.34375,3995,10310,38517.464844,364408.8125,904,5171,135473.5625,758556.0,53547,83378
4481.625,1121.746216,0,29973,110606.296875,854200.0,3786,22270,33135.710938,224647.03125,2649,8368,16375.988281,71844.71875,2548,6008,45935.820312,364598.0625,1427,7720,50661.414062,553083.75,360,5470,261196.84375,2069495.375,10770,79809
66.944794,128.57933,0,35,11053.253906,28154.505859,28040,31229,11132.3125,26295.798828,12798,15444,9685.410156,29824.320312,5608,7527,31881.119141,149880.5,8352,12923,39511.460938,325702.1875,2057,6669,103330.5,559985.875,56855,73827
782.764648,5112.086426,0,120,6249.478027,17741.160156,17746,19489,7836.12207,13950.907227,16641,17909,13997.748047,31511.597656,10714,12964,36237.921875,156959.109375,9159,14884,39572.441406,330214.25,2508,6860,104676.46875,555489.125,56768,72226
0.0,0.0,0,0,16523.320312,70535.109375,24483,27856,6760.630859,10210.357422,9799,11372,15657.368164,46759.800781,6815,10016,43627.265625,215168.90625,9045,15168,53116.363281,502569.75,2544,7997,135684.9375,845243.9375,52686,72409
2227.76709,7876.40625,0,641,12489.012695,44871.359375,21930,24861,7272.695312,16418.779297,9744,11856,7175.566406,18243.005859,7716,8742,47696.804688,262092.34375,10963,17944,55034.585938,473845.5,1720,8372,131896.4375,823347.375,52073,72416
27523.21875,195582.0625,3055,8228,3233.574951,3841.870605,15493,16546,8858.462891,27795.261719,8884,11025,23941.882812,86617.007812,10207,14568,34792.402344,215706.90625,6922,11988,61202.375,559744.625,2865,9679,159551.921875,1089287.75,47426,72034
6924.418945,6448.492188,29,7961,994.404602,1221.145264,15557,15904,4290.880859,9881.564453,9186,10291,15083.115234,47229.363281,13916,15910,28376.535156,136919.3125,8757,13042,43322.199219,325273.9375,3765,8954,98991.546875,526973.8125,51210,72062
0.0,0.0,0,0,895.398865,73.007309,17575,17575,11889.201172,31295.402344,14751,16938,10775.499023,20949.779297,10367,12405,30358.929688,120932.203125,11515,15990,52951.492188,444736.625,3222,9376,106870.515625,617986.9375,57430,72284
0.0,0.0,0,0,1602.355591,852.645264,17670,17779,14657.652344,37002.367188,18828,21599,8382.27832,25883.15625,6829,8439,37942.492188,184215.71875,10662,16306,57424.207031,565328.0,4085,9667,120008.984375,813281.875,58074,73790
0.0,0.0,0,0,2974.795898,7605.189453,17543,18624,10235.783203,29462.408203,17543,19457,7968.76709,17818.205078,10733,11689,30325.4375,126785.320312,10020,14860,49208.476562,400362.0,4307,9812,100713.265625,582033.125,60146,74442
0.0,0.0,0,0,5555.925781,8426.119141,25152,26109,6976.308594,22493.115234,10095,12014,11459.216797,26060.726562,12983,14217,43845.851562,250606.53125,7299,13999,59865.734375,586823.0,3432,9370,127703.039062,894409.5,58961,75709
213.461121,671.753357,0,68,11493.744141,51351.4375,22113,25180,7996.475586,18591.496094,13697,15611,12102.929688,28732.841797,9985,12238,31279.720703,142257.84375,9964,14552,43233.019531,359607.25,3571,8578,106319.351562,601212.625,59330,76227
5958.24707,17501.185547,4342,8922,14860.49707,80204.71875,15669,18999,9900.325195,17064.964844,16829,18493,13063.896484,40607.320312,7289,10423,34879.523438,173149.0,7420,13098,46923.757812,452497.4375,3040,7882,125586.25,781024.5625,54589,77817
7859.624023,50196.039062,0,1248,4099.100586,9354.984375,22141,23236,8890.212891,15863.529297,14396,16854,14089.855469,42617.8125,7770,11083,37407.414062,152725.625,11033,16909,42396.226562,368701.09375,2887,7556,114742.429688,639459.0625,58227,76886
53.602245,56.513222,0,51,5966.274902,8303.014648,23930,25578,5049.894531,11236.19043,14776,15882,18168.078125,53465.859375,9127,13127,31296.685547,132252.25,10126,15173,37772.59375,325193.28125,2542,6893,98307.125,530507.125,60501,76704
7.046015,16.548912,0,3,4504.642578,9074.410156,22602,23647,11342.274414,27822.546875,14484,17170,20331.429688,50815.886719,10676,15697,32485.695312,153601.3125,8998,14218,38090.96875,331323.8125,2041,6403,106762.054688,572654.5,58801,77138
0.0,0.0,0,0,7418.280273,10906.295898,26530,28828,10293.740234,19884.5,15295,17779,14973.693359,37256.546875,9714,13219,26908.132812,117948.242188,7439,12069,38098.242188,358734.0625,2658,6467,97692.09375,544729.625,61636,78362
0.0,0.0,0,0,11579.261719,48657.351562,20586,23876,11400.015625,19909.980469,18930,21361,14059.006836,30139.804688,12021,14675,21874.578125,86637.132812,6854,10857,48180.398438,419271.875,2729,8211,107093.265625,604616.125,61120,78980
0.0,0.0,0,0,6895.40625,16223.231445,25516,27471,10729.136719,14133.205078,19158,21263,15236.392578,34634.695312,10569,13837,26125.257812,121532.15625,6493,10826,33432.375,294605.21875,2043,5819,92418.570312,481128.5,63779,79216
692.440735,1071.778076,0,457,8907.736328,10892.134766,27645,30827,13869.535156,24234.238281,18632,21628,16358.500977,51837.042969,6182,10202,36457.351562,232434.0625,3846,9240,34461.789062,357413.0625,1812,5231,110747.359375,677882.25,58117,77585
0.0,0.0,0,0,6525.615723,9838.054688,24095,25847,16894.386719,25937.148438,18539,22844,12990.099609,42335.652344,5204,8112,42874.03125,244293.90625,6577,12890,50213.371094,503512.125,1257,6312,129497.5,825916.875,55672,76005
11.963867,23.950264,0,6,37766.546875,223899.4375,18981,29414,32970.90625,121559.03125,9852,20166,10005.128906,35750.886719,3754,5833,62741.28125,401992.9375,4873,14526,38538.9375,423889.03125,1509,5220,182034.765625,1207115.25,38969,75165
11710.307617,29984.363281,2372,7528,20151.902344,85327.0625,17307,23271,20787.158203,88911.335938,10157,14954,16415.808594,62859.96875,6771,9855,47643.417969,281171.5625,5171,12851,33902.441406,339840.9375,1835,5230,150611.03125,888095.25,43613,73689
2481.546143,1883.141846,6758,9303,6958.040527,9792.248047,21649,23984,8812.214844,17640.160156,9547,12195,31849.597656,121930.414062,6846,14150,31176.607422,170483.9375,5974,10732,22456.304688,218744.40625,1124,3440,103734.3125,540474.25,51898,73804
704.352051,2037.339111,0,256,12149.104492,29326.185547,18308,22905,11990.645508,24018.302734,13708,16739,23582.9375,72164.71875,10075,15290,27858.058594,127435.671875,6288,11000,40304.570312,396598.4375,1277,5450,116589.671875,651580.6875,49656,71640
395.030731,1195.494263,0,136,22507.251953,51922.761719,9508,19265,26033.804688,52701.027344,16570,23955,27922.898438,109778.8125,7501,13337,34539.765625,195428.25,3432,9006,49454.886719,516326.5625,309,5309,160853.625,927352.875,37320,71008
27438.546875,102324.046875,10,9117,9960.613281,16555.113281,12847,16727,44686.796875,154780.125,15458,27138,28815.785156,116781.625,3723,10240,36512.078125,255786.046875,1099,6557,47378.25,570538.0,172,4267,194792.0625,1216765.0,33309,74046
33607.28125,269020.375,11430,18142,28568.349609,116030.046875,18485,26247,41311.328125,150081.625,3459,15999,29145.197266,154472.296875,1314,7029,32705.328125,241060.8125,559,5269,38462.90625,450690.6875,149,3574,203800.390625,1381355.875,35396,76260
0.0,0.0,0,0,13435.039062,20046.878906,33238,36679,14620.672852,28492.007812,17592,20676,6782.553711,17435.884766,3306,4989,23596.548828,127881.265625,3702,7238,50260.6875,580812.1875,928,5317,108695.507812,774668.125,58766,74899
4659.447266,7404.822754,8326,9847,13961.273438,15344.599609,31016,36405,8889.641602,16010.357422,12823,15058,8500.46582,29540.558594,3596,5460,19081.191406,124113.960938,2155,5036,55272.554688,651060.1875,871,5826,110364.570312,843474.4375,58787,77632
9665.5,8964.027344,18285,32282,13283.28125,17296.722656,23549,29168,5104.724121,15152.523438,4324,5751,10334.395508,47830.972656,3452,5420,12647.517578,93592.28125,1515,3294,41863.554688,481517.75,993,4930,92898.96875,664354.25,52118,80845
2267.869141,6807.790039,0,838,12934.207031,26263.421875,29836,33037,8224.751953,18183.203125,10348,12395,10368.286133,28236.980469,7016,9266,19829.691406,120626.5625,3940,7098,65792.25,644107.375,1759,8996,119417.054688,844225.3125,52899,71630
10889.888672,24512.40625,8963,13884,7816.524414,13287.710938,13760,16938,18966.789062,46603.046875,12909,18157,7428.803711,32487.289062,3466,4838,32724.089844,230180.75,3105,8045,80593.257812,884075.1875,1348,9161,158419.34375,1231146.25,43551,71023
15008.217773,50356.777344,19368,28102,4456.515625,4222.11084,11513,11869,13785.063477,38072.511719,11396,14077,14029.256836,57765.839844,2499,5700,45321.777344,339563.875,2096,8310,70227.75,892257.75,258,6215,162828.578125,1382239.0,47130,74273
36.685501,75.742645,3,20,25233.679688,82481.265625,21991,30216,7835.20166,24535.570312,9312,11317,11273.594727,36709.234375,5951,8276,48309.089844,255321.75,6376,14826,32330.732422,333626.0,1465,4769,125018.984375,732749.5,45098,69424
468.681091,2524.448242,0,90,6158.722656,19046.517578,22429,24209,8828.360352,17803.632812,12961,15238,7641.98584,19434.119141,5586,7407,47424.835938,215675.421875,9757,17884,36918.234375,383199.625,1632,5097,107440.820312,657683.75,52365,69925
7389.481445,27503.818359,6992,9265,3685.684082,5559.238281,13141,14367,14003.826172,42407.992188,12466,15663,16571.308594,49065.28125,7034,11072,55535.015625,375586.5625,4191,12835,46063.050781,480689.65625,844,5219,143248.375,980812.5,44668,68421
0.0,0.0,0,0,16230.824219,65181.960938,20922,25117,11558.397461,45001.109375,10636,13439,29340.300781,97983.476562,7865,14652,32137.417969,149012.78125,6627,11918,23270.28125,264841.03125,1100,3145,112537.21875,622020.375,47150,68271
117.098465,632.435303,0,22,7832.633789,9981.347656,25639,27749,7513.347656,14664.162109,12261,13798,17464.585938,53584.023438,9288,12847,19390.441406,108645.179688,3961,7114,33276.046875,414878.8125,1191,3829,85594.148438,602385.9375,52340,65359
295.056091,315.799591,0,280,2588.357178,2144.634766,21852,22497,8037.37207,7027.054199,20436,21076,18165.736328,67461.28125,6553,10674,12375.654297,51909.203125,4234,6490,24989.636719,289881.5,1512,3578,66451.8125,418739.4375,54587,64595
615.960693,91.572754,11178,11202,2918.177246,2900.506836,16765,17509,11888.810547,18150.941406,17208,20602,9855.149414,29411.431641,4801,7118,9568.69043,63427.390625,3189,4576,30551.636719,360736.9375,1514,4090,65398.429688,474718.75,54655,65097
1553.828735,7669.851562,0,315,11536.395508,13752.794922,27985,31741,7684.84668,16090.060547,8657,11559,7441.884766,23214.222656,5569,7161,9543.005859,69558.273438,3465,4529,32110.759766,434590.9375,1630,3944,69870.726562,564876.125,47306,59249
9.071915,5.756305,8,16,10770.148438,12288.664062,29680,33639,12222.400391,33377.0625,9897,13082,5264.981934,16755.363281,3344,4533,7243.426758,45699.367188,3201,3832,16489.158203,203138.0625,1498,2710,51999.1875,311264.3125,47628,57812
8214.961914,13165.165039,1192,6896,4091.649902,4739.547363,15981,17710,6309.986328,10172.616211,14608,16022,2069.57251,4893.954102,4149,4683,3728.647217,24678.734375,4052,4488,24531.902344,300607.3125,1921,3899,48946.71875,358257.34375,41903,53698
0.0,0.0,0,0,7458.344238,7468.776367,22901,25244,6063.654297,11556.144531,9847,11610,2000.975586,4568.357422,3994,4322,9805.550781,69890.125,4062,5122,50763.171875,628707.375,1988,6009,76091.703125,722190.75,42792,52307
125.00705,2.550696,8996,8996,880.720947,156.529999,28041,28055,9843.124023,23404.421875,13845,16035,13138.101562,48883.273438,5003,7865,24899.544922,131311.6875,7363,10669,32428.46875,258052.765625,3116,6778,81314.96875,461811.25,66364,78398
2748.812744,1980.998779,1550,4498,51849.554688,146730.828125,7063,29711,54571.421875,359813.40625,8032,17413,18515.90625,54523.078125,5211,9287,29466.421875,150450.03125,6368,10546,49638.875,437806.40625,1154,6947,206791.0,1151304.75,29378,78402
0.0,0.0,0,0,19952.162109,107246.9375,27224,30753,7267.459473,15012.572266,12763,14433,11097.21875,26913.990234,8684,10619,24854.914062,121978.28125,7182,10729,39010.324219,327429.375,2671,7196,102182.078125,598581.125,58524,73730
0.0,0.0,0,0,11625.522461,37697.484375,19179,24264,7545.564453,17222.554688,13183,14803,6116.436523,12272.605469,9286,10163,26851.347656,113053.953125,8563,13028,42729.007812,343197.28125,3287,8266,94867.875,523443.875,53498,70524
0.0,0.0,0,0,3246.246826,8297.890625,17906,19208,12827.132812,26411.832031,17831,20512,7190.014648,16869.003906,8162,9409,35580.457031,174856.4375,7151,13264,52553.257812,435914.59375,2499,8747,111397.109375,662349.75,53549,71140
0.0,0.0,0,0,8866.355469,25129.53125,20039,22274,12486.577148,31652.144531,14262,16975,12819.419922,35543.800781,7544,10261,39692.6875,175279.546875,7133,14483,57112.367188,496636.6875,2273,8881,130977.40625,764241.75,51251,72874
0.0,0.0,0,0,32356.248047,182296.109375,19352,27063,14585.610352,34566.5,12902,16426,9311.246094,27755.636719,5438,7489,45091.914062,241105.90625,9137,15870,50510.40625,487628.375,1482,7038,151855.4375,973352.5625,48311,73886
7859.355957,43968.71875,128,1887,5595.101562,15874.199219,22523,23517,8010.32959,13377.742188,15845,17185,12042.539062,29980.841797,8171,10729,46280.960938,256290.4375,6268,13929,43466.148438,414629.625,1599,6274,123254.429688,774121.5625,54534,73521
2582.976074,856.180054,11853,13235,12412.193359,28646.732422,15685,20281,15739.166016,42226.175781,8653,13753,19083.734375,94538.429688,5778,9039,58111.316406,421378.875,4978,12807,47008.710938,515876.5,2059,6387,154938.09375,1103522.875,49006,75502
0.0,0.0,0,0,14313.491211,34320.828125,23142,28256,8240.604492,12800.181641,14345,15964,11135.105469,33219.957031,6673,8932,39537.9375,192556.03125,8489,14732,32775.742188,277641.75,2715,6263,106002.875,550538.75,55364,74147
0.0,0.0,0,0,6923.165039,16996.273438,23338,25155,7075.384766,9923.333984,15451,16987,14576.878906,43733.683594,7278,10692,36310.4375,170051.109375,9433,15215,31805.160156,272028.875,1775,5515,96691.03125,512733.28125,57275,73564
2904.719238,7603.936523,10960,11673,5066.539551,9144.056641,18875,20391,7385.461914,13667.636719,13520,14970,20528.589844,73549.59375,7259,11716,33571.484375,189087.234375,6042,11315,31385.042969,293655.875,2111,5282,100841.84375,586708.3125,58767,75347
0.0,0.0,0,0,4355.376953,2279.217285,22707,23026,10003.84082,12837.519531,17259,19189,14663.798828,34796.078125,9035,12129,31844.767578,132468.4375,7080,12757,35082.839844,300942.125,2531,6227,95950.625,483323.375,58612,73328
0.228199,0.007308,8,8,10280.55957,24711.009766,20756,24222,10498.774414,15005.936523,17490,19607,17022.25,38277.234375,9145,12988,36362.148438,186421.34375,6281,12213,37527.070312,347346.0625,1938,5898,111691.03125,611761.625,55618,74936
470.747253,715.139221,0,311,5969.611328,5894.364258,27018,28361,13542.569336,27839.425781,17095,20241,20935.640625,64761.761719,6644,11649,31277.542969,164893.5625,6058,10874,36948.539062,369954.0,1644,5233,109144.65625,634058.25,58459,76669
586.661133,5681.838379,0,61,13766.105469,45343.511719,23513,26708,20739.011719,68326.9375,14758,19397,23911.017578,66868.21875,7967,13689,35564.125,196814.125,5792,11118,42417.109375,408668.75,1434,5890,136984.03125,791703.375,53464,76863
331.312012,640.837891,0,174,19825.503906,62335.3125,22179,29075,12276.407227,23351.570312,15383,18415,18562.607422,51882.707031,8162,12726,34898.78125,199404.25,5993,11292,48382.648438,465623.1875,1241,6412,134277.25,803237.875,52958,78094
16180.749023,34281.351562,98,9137,36340.332031,205308.0,15637,25802,37725.730469,201303.5625,11218,19046,20515.257812,85328.859375,5095,9467,52480.800781,394583.5,3455,10646,42811.078125,462028.375,1045,5236,206053.953125,1382833.625,36548,79334
2577.853516,7660.996094,0,983,9778.083984,27864.542969,19518,22287,21257.875,60311.207031,18786,23415,12761.540039,32569.632812,8714,10823,32364.5625,162693.34375,7372,12116,46762.640625,413392.5,1835,7277,125502.546875,704492.25,56225,76901
