b1_sae,b1_sse,b1_d1n,b1_px,b2_sae,b2_sse,b2_d1n,b2_px,b3_sae,b3_sse,b3_d1n,b3_px,b4_sae,b4_sse,b4_d1n,b4_px,b5_sae,b5_sse,b5_d1n,b5_px,b6_sae,b6_sse,b6_d1n,b6_px,all_sae,all_sse,all_d1n,all_px
0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,47.032967,268.859802,2,9,47.032967,268.859802,2,9
20933.941406,47928.078125,342,12388,11499.682617,23236.078125,14244,17388,30802.185547,104555.046875,13627,20452,18220.917969,72243.304688,5467,8966,36705.617188,179222.9375,4161,10716,41773.757812,361157.0625,1847,6678,159936.09375,788342.5,39688,76588
54602.738281,159482.84375,343,25766,22947.867188,57686.4375,16597,25122,14721.952148,36295.242188,6284,10697,15549.839844,67930.710938,3106,6312,50961.480469,340380.03125,2652,10310,45987.890625,503631.0625,696,5171,204771.78125,1165406.25,29678,83378
28991.390625,31222.822266,12,29973,22117.945312,44522.507812,15238,22270,13732.935547,52438.503906,5711,8368,17007.464844,108953.554688,3431,6008,28420.740234,211395.390625,4031,7720,34702.140625,329927.375,1806,5470,144972.625,778460.1875,30229,79809
169.894257,824.991272,0,35,33283.632812,100391.921875,22485,31229,44398.695312,375345.375,9783,15444,16332.484375,101838.78125,5118,7527,47565.445312,295608.5,6312,12923,33541.449219,259331.1875,2890,6669,175291.59375,1133340.75,46588,73827
691.963013,3996.831543,0,120,23981.130859,84711.484375,16351,19489,53992.28125,542764.8125,11107,17909,25496.324219,115381.414062,8926,12964,47113.972656,287598.59375,8264,14884,25154.121094,166039.96875,4079,6860,176429.78125,1200493.125,48727,72226
0.0,0.0,0,0,40901.027344,189144.234375,18883,27856,16861.1875,103229.421875,9578,11372,17446.058594,64124.359375,7098,10016,44259.679688,225108.390625,8539,15168,29958.128906,193414.96875,4644,7997,149426.0625,775021.375,48742,72409
2252.935303,8025.999023,0,641,36557.796875,222549.046875,19664,24861,16169.910156,57146.90625,10165,11856,15576.679688,69654.492188,6958,8742,59075.992188,333476.625,8980,17944,31692.074219,195551.90625,4744,8372,161325.375,886405.0,50511,72416
10424.871094,35366.46875,4233,8228,16416.708984,81110.734375,13865,16546,15083.853516,58979.09375,9419,11025,47195.359375,298361.15625,6599,14568,40027.9375,242345.0625,6477,11988,37249.796875,246211.640625,5514,9679,166398.53125,962374.125,46107,72034
18620.275391,58643.496094,9,7961,10152.904297,8144.897949,14254,15904,14527.591797,60954.636719,8520,10291,52882.734375,335723.0,7309,15910,30248.6875,163553.546875,9522,13042,32805.96875,191105.125,5011,8954,159238.15625,818124.75,44625,72062
0.0,0.0,0,0,10595.129883,9223.666016,17416,17575,33981.542969,148969.1875,10352,16938,27881.056641,173611.15625,8055,12405,39597.640625,207736.078125,10632,15990,40439.390625,276756.875,4569,9376,152494.75,816297.0,51024,72284
0.0,0.0,0,0,12489.488281,15496.882812,17089,17779,60054.445312,348825.625,10145,21599,14762.832031,66455.40625,6462,8439,36878.890625,165362.265625,11160,16306,36716.132812,226957.359375,5405,9667,160901.78125,823097.5625,50261,73790
