b1_sae,b1_sse,b1_d1n,b1_px,b2_sae,b2_sse,b2_d1n,b2_px,b3_sae,b3_sse,b3_d1n,b3_px,b4_sae,b4_sse,b4_d1n,b4_px,b5_sae,b5_sse,b5_d1n,b5_px,b6_sae,b6_sse,b6_d1n,b6_px,all_sae,all_sse,all_d1n,all_px
0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,177.419876,3497.550049,0,9,177.419876,3497.550049,0,9
10592.222656,12452.916016,117,12388,7594.396484,9607.633789,15061,17388,29635.964844,80418.953125,12195,20452,21369.835938,96967.210938,4955,8966,38280.007812,206670.75,4695,10716,53435.53125,515167.4375,416,6678,160907.96875,921284.9375,37439,76588
31002.5625,148879.65625,9520,25766,20442.054688,31209.078125,13307,25122,24995.714844,79194.679688,1872,10697,20196.449219,84283.21875,1483,6312,49398.964844,306354.46875,2261,10310,51274.328125,557719.875,2,5171,197310.0625,1207641.0,28445,83378
5624.055664,1605.167725,0,29973,21687.933594,53154.21875,14466,22270,9722.072266,27087.539062,6763,8368,12225.644531,48279.984375,3475,6008,39470.875,304049.125,2065,7720,49783.296875,517613.3125,12,5470,138513.875,951789.375,26781,79809
114.974228,377.758728,0,35,30797.222656,115995.59375,21906,31229,16774.082031,45845.617188,10742,15444,11601.598633,39645.171875,4913,7527,35037.867188,171889.640625,7703,12923,46184.175781,438698.71875,1789,6669,140509.90625,812452.5,47053,73827
790.5625,5215.916992,0,120,8985.592773,41564.480469,17532,19489,20989.832031,74787.695312,12978,17909,23475.488281,69602.03125,7471,12964,33467.429688,133814.40625,10027,14884,40715.484375,319548.875,1812,6860,128424.390625,644533.375,49820,72226
0.0,0.0,0,0,21242.269531,58297.398438,20084,27856,7652.010254,18095.013672,9703,11372,13908.633789,32116.050781,6517,10016,38253.460938,150866.890625,9009,15168,49035.601562,394072.75,2071,7997,130091.976562,653448.125,47384,72409
2042.894043,6605.224121,0,641,19797.068359,79035.234375,19083,24861,7443.851562,18111.478516,9936,11856,9311.595703,25646.238281,7092,8742,43324.050781,190262.0,10691,17944,47278.457031,353891.96875,2219,8372,129197.914062,673552.125,49021,72416
7766.420898,25602.90625,5712,8228,3103.176758,5945.692871,16126,16546,8386.601562,30148.226562,9403,11025,29498.402344,112885.039062,8702,14568,31754.898438,173053.796875,7397,11988,54209.3125,431672.4375,2913,9679,134718.8125,779308.125,50253,72034
14362.242188,35334.71875,0,7961,1406.719482,909.455444,15839,15904,5743.758789,14497.873047,8715,10291,25566.59375,82881.15625,10827,15910,22477.490234,74475.78125,9476,13042,40905.820312,250696.875,3094,8954,110462.617188,458795.875,47951,72062
0.0,0.0,0,0,593.417236,97.337753,17566,17575,16149.933594,56365.265625,13271,16938,15759.34375,46452.546875,9366,12405,29797.230469,104824.796875,11182,15990,46280.835938,348295.78125,4130,9376,108580.765625,556035.75,55515,72284
0.0,0.0,0,0,1976.621948,1018.327393,17481,17779,21916.558594,59268.078125,15857,21599,8159.01416,19028.773438,7232,8439,30616.242188,109871.25,11571,16306,52208.710938,389615.0625,3339,9667,114877.140625,578801.5,55480,73790
0.0,0.0,0,0,4002.300537,9604.318359,17429,18624,14971.453125,38196.421875,16407,19457,9130.043945,16885.634766,10689,11689,29273.179688,105197.984375,10297,14860,52651.28125,392252.03125,3058,9812,110028.25,562136.375,57880,74442
0.0,0.0,0,0,10579.015625,25142.285156,23289,26109,7837.375488,27192.257812,10679,12014,14639.958008,28445.537109,12239,14217,37804.625,181848.9375,7965,13999,59734.921875,561252.875,3181,9370,130595.898438,823881.9375,57353,75709
317.295532,1483.650269,0,68,19893.746094,84302.65625,20135,25180,10133.469727,23666.960938,13536,15611,16775.142578,44690.257812,8590,12238,34028.65625,149714.4375,9128,14552,47569.390625,381834.375,2860,8578,128717.703125,685692.375,54249,76227
6787.382812,17404.300781,5268,8922,13300.607422,63615.445312,16002,18999,15468.296875,29299.115234,14100,18493,15253.399414,44782.140625,6783,10423,38857.558594,191210.015625,6402,13098,51956.320312,495378.21875,2300,7882,141623.5625,841689.25,50855,77817
7513.583008,46851.152344,0,1248,7446.878418,14285.347656,20802,23236,13815.847656,30285.015625,12571,16854,14211.53125,38511.96875,7959,11083,38405.539062,156785.296875,10420,16909,46947.699219,390025.6875,1980,7556,128341.078125,676744.5,53732,76886
30.170149,22.459383,29,51,17913.195312,50669.949219,19567,25578,12855.816406,24827.355469,12287,15882,16236.152344,43899.464844,10444,13127,28390.333984,94666.75,10481,15173,41676.242188,318923.625,1520,6893,117101.914062,533009.625,54328,76704
9.679246,31.229425,0,3,10278.165039,23040.691406,20256,23647,12396.173828,29533.65625,14432,17170,17371.568359,37051.625,12346,15697,29075.166016,112335.375,9478,14218,37585.535156,292921.25,1614,6403,106716.289062,494913.8125,58126,77138
0.0,0.0,0,0,10292.713867,17020.349609,25726,28828,15054.03125,35102.128906,14137,17779,14000.532227,33044.539062,10693,13219,23620.761719,92056.023438,8129,12069,39152.632812,353311.1875,1965,6467,102120.671875,530534.25,60650,78362
0.0,0.0,0,0,14993.733398,60945.5625,20575,23876,16855.941406,32251.048828,17629,21361,12142.048828,21553.988281,13140,14675,20769.796875,76018.71875,7275,10857,49875.761719,420074.0,2346,8211,114637.28125,610843.3125,60965,78980
0.0,0.0,0,0,8129.806641,11635.486328,25257,27471,18864.910156,44845.328125,16687,21263,15053.878906,32278.441406,11062,13837,29405.029297,145751.1875,5991,10826,37831.523438,328391.4375,1342,5819,109285.148438,562901.8125,60339,79216
1018.470093,2343.834961,0,457,24454.929688,69685.6875,21997,30827,22621.71875,51744.214844,16272,21628,12848.785156,32985.078125,7944,10202,27991.605469,154476.5,4906,9240,35262.164062,328260.40625,1366,5231,124197.671875,639495.75,52485,77585
0.0,0.0,0,0,30430.138672,105315.59375,16684,25847,15584.613281,21876.197266,20026,22844,9111.701172,19111.949219,6148,8112,42127.992188,214326.578125,5671,12890,50278.507812,457743.28125,319,6312,147532.953125,818373.625,48848,76005
10.080364,16.936527,0,6,29658.40625,99440.351562,19348,29414,23552.787109,59898.292969,12638,20166,9151.303711,32942.195312,3837,5833,59208.851562,374758.71875,5204,14526,40712.964844,427084.75,994,5220,162294.40625,994141.25,42021,75165
19310.439453,55735.078125,3,7528,24074.814453,95666.515625,16272,23271,22818.476562,84323.625,9016,14954,18499.058594,73819.460938,6246,9855,50235.476562,319333.3125,5420,12851,33604.769531,317894.9375,1650,5230,168543.03125,946772.9375,38607,73689
11524.806641,14805.254883,6,9303,15135.845703,30075.082031,16251,23984,15862.638672,75005.773438,8736,12195,29989.845703,110612.34375,7801,14150,32589.761719,170403.5625,5576,10732,24277.322266,231493.6875,786,3440,129380.21875,632395.6875,39156,73804
1684.748901,11101.416992,0,256,24415.382812,114762.890625,17133,22905,12236.798828,26980.648438,14337,16739,22187.607422,59715.285156,10001,15290,26166.289062,104797.15625,6515,11000,37520.15625,307532.0625,749,5450,124210.984375,624889.375,48735,71640
353.930664,966.039062,3,136,18492.763672,43201.023438,12415,19265,25815.878906,48668.882812,16039,23955,27530.322266,88184.398438,6649,13337,33005.949219,173198.46875,3201,9006,46797.457031,465376.5625,227,5309,151996.3125,819595.375,38534,71008
11977.189453,18761.451172,235,9117,8991.677734,9448.980469,14091,16727,46473.21875,118839.34375,10240,27138,32202.210938,132061.8125,2857,10240,40044.140625,288355.6875,379,6557,51374.734375,646463.5,0,4267,191063.171875,1213930.75,27802,74046
11712.37207,19140.089844,623,18142,26462.234375,93902.015625,18207,26247,30667.816406,82046.953125,5298,15999,20897.326172,79600.84375,1786,7029,31641.464844,216841.75,499,5269,40794.609375,480337.1875,9,3574,162175.8125,971868.8125,26422,76260
0.0,0.0,0,0,24476.818359,44106.398438,25552,36679,17243.232422,32124.308594,16596,20676,6649.602539,17097.947266,3427,4989,26856.660156,142066.8125,2837,7238,50458.609375,532847.5,145,5317,125684.921875,768243.0,48557,74899
10277.683594,16365.99707,1891,9847,18554.597656,17507.169922,25805,36405,11892.712891,20599.957031,11991,15058,11115.262695,41745.59375,2987,5460,23187.707031,157865.09375,1674,5036,66532.171875,861650.75,343,5826,141560.140625,1115734.5,44691,77632
13990.6875,29961.0625,22962,32282,38992.53125,99347.78125,13867,29168,8376.261719,34005.125,3879,5751,18112.777344,114136.578125,2625,5420,15922.148438,124250.648438,1044,3294,49672.816406,578879.875,240,4930,145067.234375,980581.0625,44617,80845
2469.888916,7840.230469,5,838,16524.273438,34494.976562,26785,33037,9300.853516,21424.164062,9648,12395,11772.947266,34253.585938,6573,9266,24733.101562,152256.90625,3110,7098,80747.992188,842736.125,745,8996,145549.046875,1093006.0,46866,71630
17652.65625,44668.667969,5759,13884,7666.611328,8045.989258,15192,16938,26806.871094,78991.53125,11144,18157,8266.855469,29125.837891,3284,4838,36568.773438,264046.5625,2895,8045,83299.40625,886837.8125,728,9161,180261.1875,1311716.25,39002,71023
6711.847656,7876.583984,21675,28102,11284.569336,18417.679688,8847,11869,30453.462891,118622.78125,6391,14077,20585.972656,105912.078125,1704,5700,60139.679688,552387.75,1252,8310,74102.65625,987267.0625,235,6215,203278.1875,1790484.0,40104,74273
121.115494,740.455322,0,20,60893.371094,351084.9375,17467,30216,8183.130371,22863.404297,9544,11317,9098.918945,20737.53125,6529,8276,44339.8125,225845.453125,7918,14826,30867.394531,273988.625,1480,4769,153503.75,895260.4375,42938,69424
68.849274,56.414341,10,90,20785.144531,72411.09375,19319,24209,20619.957031,59753.832031,10389,15238,8127.132324,18505.621094,6079,7407,61251.046875,340807.1875,7577,17884,39905.132812,374999.96875,622,5097,150757.265625,866534.125,43996,69925
8037.55957,8842.472656,1557,9265,4867.892578,8579.276367,12739,14367,19389.554688,53858.125,9402,15663,15568.208984,42255.6875,7966,11072,52677.453125,364949.15625,5228,12835,40664.816406,379597.125,553,5219,141205.5,858081.875,37445,68421
