b1_sae,b1_sse,b1_d1n,b1_px,b2_sae,b2_sse,b2_d1n,b2_px,b3_sae,b3_sse,b3_d1n,b3_px,b4_sae,b4_sse,b4_d1n,b4_px,b5_sae,b5_sse,b5_d1n,b5_px,b6_sae,b6_sse,b6_d1n,b6_px,all_sae,all_sse,all_d1n,all_px
0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,177.921219,3517.342285,0,9,177.921219,3517.342285,0,9
1894.657349,1992.200195,11826,12388,4371.291992,8816.460938,16162,17388,18404.050781,44969.695312,16407,20452,10870.236328,30472.863281,7100,8966,28887.296875,121409.09375,5721,10716,45786.6875,378592.9375,793,6678,110214.21875,586253.25,58009,76588
4627.441406,6351.734375,22190,25766,7579.058594,14681.181641,23748,25122,8716.887695,21113.773438,8912,10697,10780.555664,43034.8125,4153,6312,35837.351562,217708.84375,5003,10310,38323.140625,370817.1875,967,5171,105864.4375,673707.5625,64973,83378
4297.713867,811.067627,0,29973,22136.701172,63250.542969,16091,22270,9198.408203,29371.134766,6506,8368,14921.902344,73507.625,3254,6008,42168.351562,353086.5,2475,7720,47716.777344,508482.5,437,5470,140439.84375,1028509.375,28763,79809
71.141167,144.933319,0,35,30019.720703,135568.09375,24009,31229,22094.359375,89739.765625,10177,15444,11163.707031,41189.5,5449,7527,34303.945312,181963.9375,7596,12923,44983.085938,438826.3125,1875,6669,142635.96875,887432.5,49106,73827
785.878174,5151.771973,0,120,7994.731445,26895.888672,17565,19489,18418.761719,54695.578125,13283,17909,16057.830078,38023.730469,9962,12964,35231.007812,146790.40625,9148,14884,43226.984375,364943.0,1695,6860,121715.1875,636500.4375,51653,72226
0.0,0.0,0,0,39240.578125,262127.921875,21105,27856,7373.649414,13303.636719,9291,11372,17478.876953,55902.671875,6210,10016,43129.714844,221238.8125,9092,15168,53330.460938,493265.4375,2384,7997,160553.28125,1045838.5,48082,72409
2100.483887,6978.713379,0,641,37112.0,253194.71875,17647,24861,9057.683594,23760.121094,9273,11856,9830.573242,29312.574219,7169,8742,45516.261719,239296.953125,11440,17944,46924.195312,369078.65625,2528,8372,150541.203125,921621.75,48057,72416
13758.006836,40645.609375,1625,8228,3768.39502,5546.275391,15202,16546,8719.246094,25124.339844,8911,11025,27907.960938,116851.765625,10002,14568,33707.351562,205485.21875,7241,11988,55742.664062,429139.125,2527,9679,143603.625,822792.3125,45508,72034
4714.572266,3475.040527,1323,7961,1110.999023,979.017822,15648,15904,4697.253906,9899.416992,8913,10291,23666.888672,82065.15625,11949,15910,31549.626953,162929.03125,8167,13042,49144.09375,366313.6875,2587,8954,114883.4375,625661.375,48587,72062
0.0,0.0,0,0,685.205383,132.794647,17544,17575,10614.376953,24814.730469,14483,16938,10808.370117,24652.181641,10381,12405,28761.96875,106502.1875,11666,15990,51517.089844,409743.25,3091,9376,102387.015625,565845.125,57165,72284
0.0,0.0,0,0,984.106201,466.930664,17707,17779,12828.40918,26814.472656,19019,21599,8531.516602,24448.490234,6799,8439,35571.378906,166643.1875,11293,16306,57070.96875,521201.71875,3463,9667,114986.375,739574.8125,58281,73790
0.0,0.0,0,0,3500.339111,8421.760742,17537,18624,11903.542969,35981.21875,16947,19457,7997.453125,14771.922852,10830,11689,26872.302734,103731.242188,10850,14860,50217.039062,385799.75,3770,9812,100490.671875,548705.875,59934,74442
0.0,0.0,0,0,5996.880371,17751.550781,24967,26109,7486.02832,27464.976562,10154,12014,11311.264648,21807.5,12647,14217,32201.671875,150132.15625,9198,13999,53545.449219,465729.25,3432,9370,110541.289062,682885.375,60398,75709
126.763107,238.299042,0,68,13228.753906,63731.253906,22031,25180,8619.353516,23601.742188,13755,15611,12986.943359,30206.046875,9810,12238,30463.210938,133053.21875,9950,14552,42837.417969,353904.8125,3700,8578,108262.4375,604735.375,59246,76227
4759.102539,19785.230469,7699,8922,12416.974609,58148.894531,15920,18999,9861.526367,16331.829102,16070,18493,10626.302734,27263.248047,8098,10423,30321.310547,129929.828125,7998,13098,42348.878906,355670.625,3095,7882,110334.09375,607129.625,58880,77817
8070.977539,53855.90625,0,1248,4618.839844,10505.086914,21723,23236,9383.837891,18694.480469,14238,16854,10551.857422,26576.753906,8692,11083,33789.386719,130648.515625,11175,16909,42507.84375,356912.4375,2816,7556,108922.75,597193.1875,58644,76886
30.573299,18.463036,30,51,6120.600586,11877.43457,23547,25578,5911.046875,12464.740234,14572,15882,16969.693359,49782.757812,9644,13127,31658.71875,135150.0625,10077,15173,38153.253906,308703.9375,2280,6893,98843.890625,517997.375,60150,76704
4.477729,6.685014,0,3,4224.867188,8259.09668,22583,23647,6902.322266,11886.876953,15763,17170,19113.578125,48199.632812,11463,15697,29052.214844,119366.1875,9348,14218,36073.726562,290610.46875,1954,6403,95371.1875,478328.9375,61111,77138
0.0,0.0,0,0,7835.308594,12292.867188,26546,28828,11484.134766,21921.044922,14950,17779,13569.929688,31671.888672,10468,13219,25704.921875,106097.078125,7628,12069,38298.242188,341158.875,2151,6467,96892.546875,513141.75,61743,78362
0.0,0.0,0,0,11502.289062,33789.648438,20402,23876,10245.720703,17796.460938,19230,21361,13942.800781,26428.648438,12306,14675,21275.082031,82168.109375,6957,10857,47789.609375,398389.84375,2660,8211,104755.5,558572.75,61555,78980
0.0,0.0,0,0,7451.590332,14490.902344,24930,27471,9063.671875,13557.821289,19167,21263,14974.001953,32400.578125,10548,13837,25670.027344,116337.460938,6726,10826,33159.507812,282542.0625,1983,5819,90318.796875,459328.8125,63354,79216
761.433594,1326.14502,0,457,12731.039062,13969.210938,25947,30827,13750.933594,20822.976562,19007,21628,15057.169922,43983.828125,6629,10202,31178.613281,181430.5,4429,9240,32760.076172,313609.125,1786,5231,106239.265625,575141.75,57798,77585
0.0,0.0,0,0,12543.62793,32159.091797,21959,25847,17343.742188,29766.046875,18633,22844,16063.101562,54782.578125,4253,8112,45988.945312,250839.703125,5899,12890,47703.15625,465874.0,1370,6312,139642.578125,833421.4375,52114,76005
9.50666,15.110187,0,6,31015.853516,136867.34375,20725,29414,23779.738281,62676.96875,13014,20166,9188.044922,30190.8125,3721,5833,57952.476562,354305.5625,5218,14526,37726.710938,394994.15625,1540,5220,159672.34375,979049.9375,44218,75165
19797.716797,82673.15625,937,7528,23760.195312,127155.78125,17384,23271,24409.890625,115810.46875,9874,14954,18396.78125,69472.234375,6163,9855,45544.421875,272413.53125,6057,12851,30783.199219,293165.0625,2031,5230,162692.203125,960690.25,42446,73689
5478.266113,14202.429688,4877,9303,25425.714844,115853.15625,16753,23984,12977.879883,49972.15625,9333,12195,32097.158203,125610.53125,6925,14150,31657.507812,162581.9375,5476,10732,24774.503906,236195.046875,824,3440,132411.03125,704415.25,44188,73804
624.19519,1528.162354,0,256,15500.479492,48579.964844,17780,22905,12298.914062,22476.109375,13411,16739,19710.962891,48740.992188,11015,15290,27075.148438,115269.335938,6495,11000,41349.296875,387435.4375,871,5450,116559.0,624030.0,49572,71640
349.26532,917.140625,0,136,19927.710938,57906.5,12146,19265,28080.759766,59467.710938,15703,23955,26792.857422,97362.8125,8413,13337,33347.984375,177832.90625,3489,9006,46859.054688,462544.375,15,5309,155357.625,856031.4375,39766,71008
9120.992188,13179.638672,0,9117,8747.236328,9621.680664,14038,16727,33986.742188,76717.453125,15605,27138,19248.230469,60073.515625,5413,10240,32017.109375,206221.375,1532,6557,44510.695312,509115.0625,162,4267,147631.0,874928.75,36750,74046
34458.210938,243460.796875,11639,18142,26083.587891,102683.53125,19108,26247,47534.101562,188959.109375,2512,15999,28982.921875,152473.171875,1335,7029,30835.425781,222171.671875,735,5269,37439.945312,427215.5625,90,3574,205334.1875,1336963.75,35419,76260
0.0,0.0,0,0,15692.032227,33462.726562,32921,36679,16764.738281,33075.898438,16381,20676,5390.198242,12723.634766,3812,4989,21526.425781,106518.632812,3850,7238,44389.632812,444346.53125,863,5317,103763.03125,630127.4375,57827,74899
5755.385742,8260.077148,5629,9847,12271.462891,14016.149414,33281,36405,9479.802734,13592.306641,12968,15058,8904.4375,34339.652344,3528,5460,19510.357422,125629.296875,2068,5036,59068.992188,712089.5,726,5826,114990.4375,907927.0,58200,77632
31314.554688,103870.5,21795,32282,54951.484375,248312.25,13816,29168,11194.638672,42461.34375,2731,5751,22906.289062,142606.84375,1440,5420,19723.060547,166211.5625,784,3294,52778.800781,664250.9375,413,4930,192868.828125,1367713.375,40979,80845
1963.799561,5163.133789,0,838,13029.457031,27200.294922,29623,33037,8213.886719,17982.900391,10245,12395,9977.841797,27912.480469,6993,9266,19691.8125,117175.507812,4089,7098,72869.070312,739201.6875,1494,8996,125745.867188,934636.0625,52444,71630
23497.705078,119953.0625,7078,13884,13423.508789,32377.001953,13549,16938,28777.998047,90520.265625,11251,18157,8031.360352,32347.824219,3505,4838,33984.742188,239101.25,3009,8045,83038.9375,910049.875,983,9161,190754.25,1424349.25,39375,71023
12355.511719,39788.832031,22841,28102,4687.131836,5202.217773,10803,11869,12525.396484,30220.4375,11241,14077,9843.230469,36196.28125,3778,5700,36638.707031,255031.09375,2823,8310,64591.484375,810800.125,597,6215,140641.46875,1177239.0,52083,74273
63.921165,213.618195,0,20,32611.171875,121057.554688,21436,30216,4247.833984,5844.705078,10524,11317,8382.599609,23731.201172,6425,8276,42296.46875,189497.421875,7311,14826,30857.539062,295351.5625,1269,4769,118459.53125,635696.0625,46965,69424
132.437744,219.397934,0,90,7383.702148,9003.765625,21615,24209,16742.851562,50478.0,10822,15238,7452.205078,16160.564453,5947,7407,51447.839844,246021.1875,8815,17884,35639.351562,332874.40625,1229,5097,118798.390625,654757.3125,48428,69925
5075.648926,11387.897461,8012,9265,4449.948242,7809.642578,12861,14367,10514.894531,20184.941406,13371,15663,14402.433594,37819.785156,7994,11072,50522.808594,321394.5625,4843,12835,46104.441406,496568.4375,856,5219,131070.171875,895165.25,47937,68421
0.0,0.0,0,0,11921.429688,24018.210938,22061,25117,5781.914062,7091.422852,12191,13439,22700.851562,66277.875,9251,14652,27242.941406,119354.820312,7095,11918,20398.056641,214187.6875,1310,3145,88045.195312,430930.0,51908,68271
130.829239,785.341431,0,22,9080.012695,11272.201172,24089,27749,5992.246094,7864.061523,12781,13798,17190.128906,42716.320312,8763,12847,17568.988281,78406.007812,3839,7114,29960.894531,329565.59375,1328,3829,79923.09375,470609.53125,50800,65359
385.413879,541.272095,0,280,8705.6875,20800.773438,19514,22497,12517.470703,17712.595703,18424,21076,16606.832031,50734.664062,6594,10674,15124.268555,75495.4375,3902,6490,26178.439453,302036.25,1386,3578,79518.117188,467321.0,49820,64595
15146.623047,79082.03125,7300,11202,5706.216797,8113.482422,15715,17509,19332.464844,55699.296875,15975,20602,11450.023438,42266.289062,4519,7118,12472.322266,85367.960938,2723,4576,31715.710938,356843.90625,1287,4090,95823.359375,627373.0,47519,65097
1445.874756,6637.958984,0,315,16227.533203,24378.105469,24060,31741,8747.486328,19073.253906,8615,11559,6226.999512,18157.117188,6072,7161,8090.674805,57814.316406,3728,4529,28429.78125,353930.0625,1705,3944,69168.34375,479990.8125,44180,59249
13.530111,20.098749,11,16,11374.270508,9875.425781,28697,33639,8501.666016,15829.728516,11090,13082,3890.481934,10479.672852,3431,4533,4441.420898,31108.029297,3427,3832,15004.797852,183604.0,1611,2710,43226.171875,250916.96875,48267,57812
6829.847656,12878.828125,2318,6896,4396.755859,6683.009766,15795,17710,5446.883789,7250.032227,15316,16022,1898.197754,4058.563232,4143,4683,3575.24585,22390.771484,4111,4488,24341.191406,290872.3125,1944,3899,46488.125,344133.5,43627,53698
0.0,0.0,0,0,10307.001953,22092.216797,22363,25244,4385.108398,5415.231934,10431,11610,1692.687012,3725.733398,4010,4322,9683.951172,64393.195312,3934,5122,47220.335938,538704.875,1892,6009,73289.085938,634331.1875,42630,52307
166.339142,4.428754,8996,8996,881.240845,372.55188,27998,28055,6338.753906,8424.379883,14959,16035,7470.094238,17917.839844,6542,7865,20255.304688,79871.867188,7685,10669,34732.097656,249102.46875,2417,6778,69843.828125,355693.5625,68597,78398
1885.028809,899.386902,3688,4498,18772.113281,32568.488281,21432,29711,19988.125,52248.824219,11933,17413,17168.652344,57570.34375,5276,9287,29408.369141,167533.984375,6454,10546,47556.140625,435907.5,1654,6947,134778.4375,746728.5,50437,78402
0.0,0.0,0,0,27602.292969,116703.65625,24116,30753,8878.101562,17289.953125,12169,14433,9007.361328,20607.65625,9134,10619,26105.460938,122512.539062,6566,10729,42666.90625,349829.96875,1983,7196,114260.125,626943.75,53968,73730
0.0,0.0,0,0,11774.048828,29426.916016,18687,24264,8183.131348,19882.949219,12873,14803,6985.733398,16038.304688,9162,10163,26608.5625,108309.53125,8446,13028,42151.222656,330789.9375,3320,8266,95702.703125,504447.625,52488,70524
0.0,0.0,0,0,4328.577148,8427.794922,17856,19208,15072.505859,37079.503906,17048,20512,7471.250977,16605.126953,8215,9409,32443.841797,155736.09375,7743,13264,48531.960938,376508.1875,2978,8747,107848.140625,594356.6875,53840,71140
0.0,0.0,0,0,9798.568359,30203.480469,19822,22274,11486.386719,27524.363281,14432,16975,11868.875,24761.033203,7492,10261,41644.527344,183147.015625,7061,14483,57415.480469,494053.875,2329,8881,132213.828125,759689.75,51136,72874
0.0,0.0,0,0,12883.962891,39898.214844,23379,27063,13447.03125,34510.917969,13136,16426,9326.091797,26568.261719,5420,7489,43078.289062,206743.0,8768,15870,46049.117188,411675.34375,1779,7038,124784.484375,719395.75,52482,73886
8618.605469,51647.976562,73,1887,9178.329102,33131.683594,21437,23517,8753.197266,13311.739258,15831,17185,13849.199219,32589.464844,7801,10729,44345.566406,229948.796875,6679,13929,44153.15625,415434.3125,1185,6274,128898.046875,776064.0,53006,73521
10418.498047,23936.367188,7622,13235,22527.009766,123353.328125,15009,20281,18898.617188,63847.023438,8444,13753,22149.761719,99675.21875,4450,9039,51538.457031,340094.25,5319,12807,44789.964844,454394.25,1932,6387,170322.3125,1105300.5,42776,75502
0.0,0.0,0,0,11047.167969,21157.730469,24843,28256,8033.657227,11849.530273,14390,15964,9037.508789,21362.570312,7182,8932,37908.652344,171609.28125,8632,14732,31641.128906,258727.3125,2769,6263,97668.109375,484706.4375,57816,74147
0.0,0.0,0,0,5720.999023,14348.24707,23205,25155,7322.583008,9917.494141,15789,16987,13863.880859,35697.496094,7594,10692,36777.886719,169770.34375,9424,15215,32986.898438,282904.25,1749,5515,96672.25,512637.84375,57761,73564
14349.089844,69130.78125,6828,11673,7307.769531,16229.063477,18076,20391,10709.004883,22734.277344,12120,14970,25067.894531,110886.375,6845,11716,34063.125,184344.4375,5699,11315,32898.199219,307281.75,1840,5282,124395.078125,710606.625,51408,75347
0.0,0.0,0,0,3411.725098,3248.230225,22513,23026,9719.96875,15302.697266,17280,19189,12888.643555,29442.578125,9706,12129,28247.855469,110834.460938,7803,12757,31713.71875,253320.71875,2650,6227,85981.90625,412148.6875,59952,73328
0.308504,0.01213,8,8,16584.164062,71176.234375,20407,24222,13657.650391,25408.355469,16655,19607,24089.320312,89426.960938,7582,12988,37443.390625,191080.921875,5806,12213,39441.070312,361901.21875,1720,5898,131215.90625,738993.6875,52178,74936
547.810181,966.07373,0,311,8303.370117,12863.283203,26615,28361,12570.136719,22116.361328,17528,20241,18276.613281,53931.015625,7326,11649,27603.53125,135154.09375,6615,10874,34262.828125,307891.5625,1286,5233,101564.289062,532922.4375,59370,76669
470.602722,4064.568848,0,61,11288.569336,23400.066406,24013,26708,16689.882812,29362.607422,14586,19397,21494.607422,56190.027344,8244,13689,35679.207031,188225.453125,5507,11118,42955.507812,385624.375,767,5890,128578.375,686867.125,53117,76863
187.419678,203.872589,0,174,40960.921875,218222.5,18947,29075,21801.871094,66655.578125,12657,18415,22617.462891,67505.554688,7008,12726,45458.09375,281825.6875,4104,11292,58774.40625,616917.0,431,6412,189800.171875,1251330.25,43147,78094
24257.65625,74752.9375,76,9137,38314.707031,221733.03125,16449,25802,35846.140625,181990.78125,11425,19046,19775.623047,81517.734375,5349,9467,49893.328125,363708.40625,3576,10646,41743.921875,442837.59375,1030,5236,209831.375,1366540.375,37905,79334
3003.71875,9919.881836,0,983,9505.689453,31855.527344,19570,22287,15043.859375,24240.617188,20052,23415,12279.154297,31863.71875,8463,10823,32617.808594,159616.75,7055,12116,46268.210938,394929.40625,1809,7277,118718.445312,652425.875,56949,76901
0.0,0.0,0,0,35969.085938,170362.625,21752,29929,22315.078125,91823.296875,11524,16142,18279.132812,53774.03125,9158,12378,29673.6875,147343.90625,6402,10939,50578.492188,430891.0625,1615,7810,156815.46875,894194.875,50451,77198
22.759754,3.425407,153,153,43105.132812,208245.65625,16005,27888,13838.46875,23128.804688,13954,16487,23069.71875,78329.265625,7104,11903,54943.324219,321011.3125,4339,13472,53395.667969,497109.5625,791,7079,188375.078125,1127828.0,42346,76982
19065.34375,67670.0,3455,9987,9382.390625,8602.212891,13802,20934,27960.484375,71572.65625,13598,22392,15636.228516,47502.632812,5467,9241,48950.550781,340112.4375,2900,10188,49035.367188,505779.5625,500,5672,170030.359375,1041239.5,39722,78414
20760.140625,45593.289062,5328,27917,6434.499023,12305.317383,9535,11911,29879.804688,113802.242188,8772,15592,18618.265625,71309.1875,3887,8500,47118.640625,389549.375,2879,8737,47140.535156,509695.625,1123,5692,169951.875,1142255.0,31524,78349
4227.975586,8613.176758,2514,4593,7379.614258,7610.769531,23162,24921,13618.814453,25567.257812,13440,16852,15472.699219,40985.429688,6106,9557,48194.09375,231507.328125,8515,16030,49039.601562,453364.375,536,6330,137932.78125,767648.3125,54273,78283
63.457306,143.889297,0,28,8546.602539,14485.405273,27670,29548,10407.126953,16580.058594,14085,16787,9351.277344,22610.113281,7760,9372,30228.464844,121710.773438,10941,15313,39263.3125,352037.375,1483,5911,97860.242188,527567.625,61939,76959
1839.803101,4305.604492,6981,7186,9302.810547,31526.070312,16427,19198,15232.799805,33237.296875,10041,15519,15298.561523,39402.152344,13208,15304,22999.554688,112459.195312,9403,12362,31597.992188,278399.34375,2301,5721,96271.523438,499329.6875,58361,75290
5712.458984,33265.730469,53,1154,9870.902344,24576.113281,18645,22281,7771.260742,13326.744141,14220,16246,13264.804688,19184.464844,17860,19300,18987.378906,73352.09375,6392,9764,32235.832031,232252.96875,1937,6138,87842.640625,395958.125,59107,74883
0.0,0.0,0,0,6636.131836,11061.180664,17389,20146,8690.296875,10225.855469,23112,24147,15543.709961,30194.138672,12425,15605,24931.798828,121282.765625,5469,9753,31248.96875,251321.75,1575,5550,87050.90625,424085.6875,59970,75201
0.0,0.0,0,0,4950.462891,5421.02832,21613,23215,14394.185547,21230.359375,23894,26865,10278.0625,23896.779297,7519,10061,23618.914062,113382.375,6568,10398,25718.933594,220696.671875,1831,4764,78960.5625,384627.1875,61425,75303
8.687969,25.160616,0,3,10266.128906,15583.435547,29904,32922,13068.537109,18264.695312,17325,21385,12256.837891,31338.822266,6559,9460,25318.542969,129858.054688,5001,9108,29455.666016,279260.875,1392,4612,90374.398438,474331.0625,60181,77490
2223.549805,4357.958496,6176,7043,15126.693359,30859.783203,25823,32806,11489.240234,21031.662109,13548,16775,12793.492188,38470.335938,5908,8787,20416.914062,114216.078125,4353,7366,28816.703125,268550.8125,1560,4666,90866.59375,477486.625,57368,77443
10366.263672,31691.347656,7965,16324,6495.999023,8898.503906,21152,22917,8457.302734,14679.138672,11771,14276,8244.897461,25883.179688,4392,6198,18941.650391,93562.5625,4937,7993,31451.458984,282986.5,1770,5218,83957.570312,457701.21875,51987,72926
1524.47168,1086.532959,6841,8277,6635.130859,9703.374023,25924,27583,9415.274414,18703.640625,14516,16738,9709.15332,31777.935547,5823,7821,20353.363281,103798.96875,5510,8727,38964.652344,348607.53125,1535,6175,86602.046875,513678.03125,60149,75321
114.18013,82.174355,157,238,36161.289062,166470.34375,23821,32974,17076.568359,52412.234375,8909,13820,16369.142578,68508.859375,4249,7615,48715.523438,373787.0,4957,11321,42579.59375,436260.0625,1381,5588,161016.28125,1097520.75,43474,71556
