sample_id,b1_mae,b1_rmse,b1_d1,b1_px,b2_mae,b2_rmse,b2_d1,b2_px,b3_mae,b3_rmse,b3_d1,b3_px,b4_mae,b4_rmse,b4_d1,b4_px,b5_mae,b5_rmse,b5_d1,b5_px,b6_mae,b6_rmse,b6_d1,b6_px,all_mae,all_rmse,all_d1,all_px
environment_1/00000,,,,0,,,,0,,,,0,,,,0,,,,0,19.790087,19.790141,0.0,9,19.790087,19.790141,0.0,9
environment_1/00001,0.426093,1.232864,0.841782,12388,0.222891,0.617618,0.94525,17388,0.825454,1.405782,0.798651,20452,1.717137,2.533259,0.616998,8966,2.96934,3.926675,0.538074,10716,6.944826,8.083639,0.227913,6678,1.561982,3.076769,0.73142,76588
environment_1/00002,0.249651,0.916654,0.903788,25766,0.557748,1.087443,0.757782,25122,1.932327,2.454059,0.35767,10697,2.791232,3.36131,0.395754,6312,3.707418,4.481369,0.387488,10310,7.448746,8.394738,0.174821,5171,1.624812,3.016255,0.64222,83378
environment_1/00003,0.149522,0.193456,0.0,29973,4.966605,6.193265,0.170004,22270,3.959812,5.181309,0.316563,8368,2.725697,3.458059,0.424101,6008,5.950236,6.872243,0.184845,7720,9.261684,10.055457,0.065814,5470,3.272774,5.09221,0.134947,79809
environment_1/00004,1.912708,1.916689,0.0,35,0.353942,0.9495,0.897883,31229,0.720818,1.304858,0.828671,15444,1.286756,1.990556,0.745051,7527,2.467006,3.405578,0.64629,12923,5.924645,6.988436,0.308442,6669,1.39963,2.754108,0.770111,73827
environment_1/00005,6.523039,6.526923,0.0,120,0.320667,0.954105,0.910565,19489,0.437552,0.882603,0.929198,17909,1.07974,1.55907,0.826442,12964,2.43469,3.247383,0.615359,14884,5.768577,6.938025,0.365598,6860,1.449291,2.773263,0.785977,72226
environment_1/00006,,,,0,0.593169,1.591268,0.878913,27856,0.594498,0.94755,0.861678,11372,1.563236,2.160674,0.680411,10016,2.87627,3.766393,0.596321,15168,6.642036,7.92747,0.318119,7997,1.873868,3.416605,0.727617,72409
environment_1/00007,3.475456,3.505379,0.0,641,0.502354,1.343462,0.882105,24861,0.613419,1.176796,0.821862,11856,0.820815,1.444584,0.882636,8742,2.658092,3.821796,0.610956,17944,6.573648,7.52322,0.205447,8372,1.821371,3.371897,0.719081,72416
environment_1/00008,3.345068,4.87548,0.371293,8228,0.195429,0.481864,0.936359,16546,0.803489,1.587801,0.805805,11025,1.643457,2.438381,0.700645,14568,2.902269,4.241883,0.577411,11988,6.323213,7.604659,0.296002,9679,2.214953,3.888683,0.658384,72034
environment_1/00009,0.869793,0.900006,0.003643,7961,0.062525,0.277096,0.978182,15904,0.416955,0.979905,0.892625,10291,0.948027,1.722943,0.87467,15910,2.175781,3.240114,0.671446,13042,4.838307,6.027207,0.420482,8954,1.3737,2.704216,0.710638,72062
environment_1/00010,,,,0,0.050947,0.064452,1.0,17575,0.701925,1.359281,0.870882,16938,0.868642,1.299545,0.835711,12405,1.89862,2.750089,0.720138,15990,5.647557,6.887199,0.343643,9376,1.478481,2.923941,0.794505,72284
