epoch,train_loss,val_loss,val_mae_m,val_rmse_m,val_delta1,test_loss,test_mae_m,test_rmse_m,test_delta1,lr
1,0.362431,0.320687,3.517,5.000,0.202,0.319531,3.520,5.005,0.201,7.69e-04
5,0.215007,0.213220,2.419,3.994,0.449,0.213342,2.428,4.006,0.449,7.69e-04
10,0.190435,0.191860,2.131,3.620,0.514,0.191660,2.135,3.626,0.515,7.69e-04
15,0.180285,0.183475,2.068,3.586,0.540,0.183450,2.072,3.590,0.540,7.69e-04
20,0.172627,0.175943,1.949,3.447,0.561,0.175605,1.952,3.450,0.561,7.69e-04
25,0.168164,0.174518,2.003,3.561,0.559,0.173933,2.005,3.565,0.560,7.69e-04
30,0.163602,0.176260,2.057,3.633,0.540,0.175859,2.059,3.637,0.542,7.69e-04
35,0.159922,0.170464,1.830,3.277,0.582,0.170232,1.833,3.280,0.582,7.69e-04
40,0.157097,0.166945,1.938,3.501,0.577,0.166494,1.941,3.507,0.577,7.69e-04
45,0.154032,0.163962,1.847,3.362,0.595,0.163720,1.849,3.365,0.595,7.69e-04
50,0.152139,0.161805,1.874,3.438,0.597,0.161461,1.874,3.436,0.598,7.69e-04
55,0.149640,0.161498,1.817,3.321,0.604,0.161331,1.820,3.325,0.605,7.69e-04
60,0.148411,0.161427,1.791,3.276,0.607,0.160566,1.790,3.277,0.609,7.69e-04
65,0.146507,0.164539,1.903,3.474,0.586,0.164234,1.905,3.477,0.585,7.69e-04
70,0.144495,0.162044,1.811,3.332,0.601,0.161582,1.811,3.331,0.602,7.69e-04
75,0.142891,0.163878,1.767,3.225,0.605,0.163757,1.770,3.230,0.606,7.69e-04
80,0.142482,0.161177,1.787,3.273,0.606,0.161024,1.789,3.277,0.608,7.69e-04
85,0.140331,0.162215,1.765,3.238,0.609,0.161712,1.764,3.237,0.610,7.69e-04
90,0.139225,0.159179,1.801,3.325,0.608,0.158951,1.802,3.329,0.609,7.69e-04
95,0.138473,0.158864,1.755,3.245,0.617,0.158831,1.757,3.249,0.617,7.69e-04
100,0.137098,0.159094,1.776,3.294,0.617,0.159193,1.779,3.297,0.617,7.69e-04
105,0.136442,0.162276,1.878,3.463,0.588,0.161544,1.874,3.459,0.590,7.69e-04
110,0.135318,0.160640,1.817,3.348,0.598,0.160435,1.820,3.354,0.600,7.69e-04
115,0.134539,0.161961,1.721,3.156,0.621,0.161441,1.721,3.158,0.622,7.69e-04
120,0.133610,0.159438,1.753,3.249,0.620,0.159010,1.753,3.248,0.621,3.85e-04
125,0.128095,0.158261,1.711,3.186,0.629,0.157556,1.710,3.185,0.630,3.85e-04
130,0.127678,0.156996,1.744,3.257,0.625,0.156186,1.741,3.254,0.626,3.85e-04
135,0.126513,0.157977,1.733,3.230,0.626,0.156854,1.731,3.230,0.627,3.85e-04
140,0.125727,0.160567,1.700,3.154,0.632,0.160347,1.702,3.156,0.632,3.85e-04
145,0.125285,0.159426,1.697,3.151,0.632,0.158763,1.694,3.149,0.634,3.85e-04
150,0.124394,0.159078,1.705,3.176,0.632,0.158268,1.704,3.173,0.634,3.85e-04
155,0.124003,0.159037,1.720,3.212,0.630,0.158918,1.724,3.215,0.630,1.92e-04
160,0.121175,0.158160,1.708,3.187,0.631,0.157726,1.707,3.184,0.632,1.92e-04
165,0.120637,0.158997,1.707,3.187,0.633,0.158949,1.709,3.189,0.633,1.92e-04
# Time Taken,3h 32m 25s,,,,,,,,,
