epoch,train_loss,val_loss,val_mae_m,val_rmse_m,val_delta1,test_loss,test_mae_m,test_rmse_m,test_delta1,lr
1,0.001491,0.001213,3.133,4.161,0.343,0.001256,3.185,4.209,0.334,1.00e-04
5,0.000723,0.000686,2.050,3.109,0.616,0.000752,2.189,3.238,0.578,1.00e-04
10,0.000614,0.000638,1.919,2.998,0.643,0.000696,2.022,3.116,0.614,1.00e-04
15,0.000542,0.000614,1.793,2.935,0.662,0.000673,1.906,3.058,0.632,1.00e-04
20,0.000483,0.000642,1.814,3.000,0.662,0.000704,1.929,3.128,0.633,1.00e-04
25,0.000439,0.000647,1.797,3.009,0.670,0.000713,1.919,3.142,0.641,1.00e-04
30,0.000410,0.000648,1.791,3.012,0.672,0.000715,1.919,3.146,0.643,1.00e-04
35,0.000387,0.000661,1.806,3.041,0.672,0.000731,1.937,3.180,0.644,1.00e-04
40,0.000372,0.000671,1.811,3.064,0.672,0.000740,1.938,3.200,0.645,1.00e-04
45,0.000360,0.000665,1.791,3.052,0.675,0.000730,1.912,3.180,0.649,5.00e-05
50,0.000336,0.000677,1.808,3.079,0.675,0.000746,1.933,3.214,0.648,5.00e-05
55,0.000330,0.000687,1.811,3.101,0.676,0.000757,1.938,3.237,0.649,5.00e-05
60,0.000325,0.000694,1.822,3.118,0.674,0.000765,1.951,3.253,0.647,5.00e-05
65,0.000319,0.000698,1.816,3.126,0.676,0.000769,1.942,3.262,0.649,5.00e-05
# Time Taken,1h 5m 27s,,,,,,,,,
