trial,best_epoch,train_loss,val_loss,val_mae,lr,berhu_c_frac,grad_weight,lstm_kernel_size,lstm_hidden_dim
2,95,0.124660,0.151635,1.374,8.03e-04,0.4062,1.1709,1,256
3,100,0.130118,0.167887,1.552,5.53e-05,0.3318,1.1685,1,512
1,100,0.113038,0.170250,1.382,8.82e-05,0.1614,0.5865,3,512
0,95,0.148645,0.161173,1.564,2.92e-05,0.3435,0.8833,3,512
4,100,0.131117,0.170341,1.465,6.86e-05,0.2253,1.4708,1,256
5,100,0.116209,0.140580,1.326,3.77e-04,0.4739,1.4269,1,512
6,100,0.134620,0.195662,1.360,1.30e-04,0.1243,1.7261,3,256
7,100,0.134070,0.153626,1.464,5.49e-05,0.2962,0.9474,3,256
8,90,0.115946,0.150170,1.382,1.51e-04,0.2944,1.6247,3,512
9,100,0.126535,0.157992,1.376,4.19e-04,0.2009,1.2551,3,512
11,100,0.125436,0.162696,1.333,1.63e-04,0.1817,1.1153,3,256
10,95,0.141897,0.170867,1.450,6.24e-05,0.1719,0.8826,3,512
13,100,0.130928,0.175316,1.385,1.24e-04,0.1455,0.8675,1,256
14,100,0.095646,0.144483,1.280,3.12e-04,0.3186,1.6844,3,256
12,100,0.122292,0.154930,1.454,6.91e-05,0.2383,0.4489,3,512
15,100,0.114977,0.145767,1.361,1.29e-04,0.3155,0.9313,3,256
16,90,0.123147,0.153346,1.423,8.84e-05,0.2890,1.1238,1,256
18,75,0.170865,0.212295,1.386,1.62e-04,0.0900,0.2558,1,256
17,95,0.187622,0.287769,1.297,4.25e-04,0.0548,0.9517,3,512
19,100,0.104707,0.164616,1.356,1.38e-04,0.2053,1.4321,3,512
20,95,0.098912,0.156618,1.387,1.69e-04,0.2593,0.9084,1,512
21,90,0.124468,0.153854,1.360,2.01e-04,0.2536,1.2834,1,512
22,95,0.115305,0.142783,1.348,2.56e-04,0.2632,0.9696,1,256
23,95,0.112709,0.159987,1.411,1.11e-04,0.2297,1.1136,1,512
24,90,0.109040,0.190708,1.321,2.89e-04,0.1309,1.4447,3,512
25,100,0.109258,0.169499,1.340,3.17e-04,0.1681,1.1652,1,256
26,95,0.102105,0.150451,1.300,3.67e-04,0.2524,1.4174,3,512
27,85,0.124623,0.154579,1.424,1.61e-04,0.3077,1.2802,1,512
28,95,0.127664,0.168332,1.330,6.55e-04,0.1574,1.3151,1,256
29,100,0.116847,0.176576,1.336,4.81e-04,0.1315,0.8411,3,512
